Student,Courses
Kirby Mayer,"{'Programming Paradigms', 'Efficient Algorithms', 'Introduction to Programming 2'}"
Millard Wilkinson,"{'Programming Paradigms', 'Introduction to Programming 1', 'Introduction to Programming 2'}"
Laurence Bright,"{'Programming Paradigms', 'Algorithms and Data Structures', 'Introduction to Programming 1'}"
Dannie Ruiz,"{'Programming Paradigms', 'Algorithms and Data Structures', 'Introduction to Programming 1'}"
Adolfo Mays,"{'Programming Paradigms', 'Introduction to Programming 1', 'Introduction to Programming 2'}"
Horacio Santana,"{'Programming Paradigms', 'Efficient Algorithms', 'Introduction to Programming 2'}"
Maggie Wells,"{'Programming Paradigms', 'Introduction to Programming 1', 'Introduction to Programming 2'}"
Harriett Rangel,"{'Programming Paradigms', 'Introduction to Programming 1', 'Introduction to Programming 2'}"
Roy Munoz,"{'Programming Paradigms', 'Introduction to Programming 1', 'Introduction to Programming 2'}"
Eddie York,"{'Algorithms and Data Structures', 'Introduction to Programming 1'}"
